OBJECTID,leg_id,start_time,start_node_lat,start_node_lng,end_node_lat,end_node_lng,CentroidID_O,CentroidID_D
19280,95848013,2000-01-02 01:48:00 +0800,37.51762,-121.93553999999999,37.538759999999996,-121.92308,15,9
19281,95848278,2000-01-02 06:48:00 +0800,37.52833,-121.91998999999998,37.52454,-121.9193,8,"12
"
19282,95848280,2000-01-02 06:54:00 +0800,37.52454,-121.9193,37.52833,-121.91998999999998,"12
",8
19283,95848283,2000-01-01 19:24:00 +0800,37.52833,-121.91998999999998,37.54501,-121.94452,8,6
19284,95848285,2000-01-01 19:50:00 +0800,37.54501,-121.94452,37.52033,-121.93632,6,15
19285,95848297,2000-01-01 16:57:00 +0800,37.52833,-121.91998999999998,37.51386,-121.92341,8,20
19286,95848299,2000-01-01 17:28:00 +0800,37.51386,-121.92341,37.52833,-121.91998999999998,20,8
19287,95848317,2000-01-01 23:40:00 +0800,37.52833,-121.91998999999998,37.51287,-121.94508,8,30
19288,95848318,2000-01-02 00:16:00 +0800,37.51287,-121.94508,37.53147,-121.95298999999999,30,4
19289,95848320,2000-01-02 00:42:00 +0800,37.53147,-121.95298999999999,37.53003,-121.94596000000001,4,4
19290,95848322,2000-01-02 00:48:00 +0800,37.53003,-121.94596000000001,37.52833,-121.91998999999998,4,8
19291,95848445,2000-01-02 02:35:00 +0800,37.53297,-121.92355,37.50078,-121.93948,8,1
19292,95848658,2000-01-02 07:49:00 +0800,37.53297,-121.92355,37.51742,-121.91823000000001,8,20
19293,95848660,2000-01-01 17:09:00 +0800,37.53297,-121.92355,37.5327,-121.94738999999998,8,4
19294,95848665,2000-01-01 22:51:00 +0800,37.53297,-121.92355,37.51189,-121.92226000000001,8,19
19295,95848666,2000-01-01 22:59:00 +0800,37.51189,-121.92226000000001,37.53297,-121.92355,19,8
19296,95848671,2000-01-01 18:38:00 +0800,37.53297,-121.92355,37.508790000000005,-121.94868000000001,8,2
19297,95848673,2000-01-02 02:23:00 +0800,37.508790000000005,-121.94868000000001,37.53297,-121.92355,2,8
19298,95848749,2000-01-01 18:27:00 +0800,37.53085,-121.93325,37.52834,-121.95113,7,4
19299,95848751,2000-01-02 06:03:00 +0800,37.52834,-121.95113,37.53085,-121.93325,4,7
19300,95848761,2000-01-01 18:28:00 +0800,37.53236,-121.92838,37.53205,-121.94538,7,4
19301,95848773,2000-01-02 05:44:00 +0800,37.53236,-121.92838,37.51287,-121.94508,7,30
19302,95848775,2000-01-02 06:50:00 +0800,37.51287,-121.94508,37.53236,-121.92838,30,7
19303,95848781,2000-01-02 01:59:00 +0800,37.53236,-121.92838,37.53286,-121.92751000000001,7,7
19304,95848782,2000-01-02 03:17:00 +0800,37.53286,-121.92751000000001,37.53236,-121.92838,7,7
19305,95848809,2000-01-01 19:49:00 +0800,37.51963,-121.92176,37.535579999999996,-121.92069,13,8
19306,95848828,2000-01-01 21:16:00 +0800,37.53178,-121.93348,37.52887,-121.92383000000001,7,8
19307,95848830,2000-01-01 22:32:00 +0800,37.52887,-121.92383000000001,37.53737,-121.92396000000001,8,9
19308,95848832,2000-01-02 00:39:00 +0800,37.53737,-121.92396000000001,37.53178,-121.93348,9,7
19309,95848950,2000-01-02 06:26:00 +0800,37.528929999999995,-121.93638999999999,37.50078,-121.93948,7,1
19310,95848951,2000-01-02 06:45:00 +0800,37.50078,-121.93948,37.53178,-121.93348,1,7
19311,95848952,2000-01-01 19:20:00 +0800,37.53086,-121.93525,37.50078,-121.93948,7,1
19312,95848953,2000-01-02 05:20:00 +0800,37.50078,-121.93948,37.53086,-121.93525,1,7
19313,95848959,2000-01-01 20:54:00 +0800,37.53086,-121.93525,37.50237,-121.95432,7,1
19314,95848960,2000-01-01 21:28:00 +0800,37.50237,-121.95432,37.53086,-121.93525,1,7
19315,95849007,2000-01-01 20:55:00 +0800,37.50657,-121.93091000000001,37.53295,-121.92381999999999,18,8
19316,95849008,2000-01-01 21:02:00 +0800,37.53295,-121.92381999999999,37.52772,-121.9248,8,"12
"
19317,95849035,2000-01-01 21:19:00 +0800,37.52033,-121.93632,37.51287,-121.94508,15,30
19318,95849036,2000-01-01 21:59:00 +0800,37.51287,-121.94508,37.52033,-121.93632,30,15
19319,95849040,2000-01-02 06:49:00 +0800,37.52033,-121.93632,37.50589,-121.92043999999999,15,19
19320,95849041,2000-01-02 04:36:00 +0800,37.52033,-121.93632,37.53549,-121.91856999999999,15,8
19321,95849289,2000-01-02 01:14:00 +0800,37.52944,-121.93243999999999,37.53761,-121.93741000000001,7,6
19322,95849290,2000-01-02 01:53:00 +0800,37.53761,-121.93741000000001,37.52944,-121.93243999999999,6,7
19323,95849297,2000-01-02 07:49:00 +0800,37.50078,-121.93948,37.50257,-121.94675,1,1
19324,95849300,2000-01-02 04:14:00 +0800,37.52944,-121.93243999999999,37.530159999999995,-121.93443,7,7
19325,95849301,2000-01-02 04:38:00 +0800,37.530159999999995,-121.93443,37.52944,-121.93243999999999,7,7
